commodity,bucket,gbp,has_t1,n_cells,n_countries,dupe_pct,dupe_partner,dupe_pct_ub,host_share,dupe_partner_ub,place_article,name_article,fold_candidate
"Seeds — Unenumerated, Other Sorts",FOLD?,6047136,0,238,41,3,"Cotton — Unenumerated, Other Sorts",5,3,"Cotton — Unenumerated, Other Sorts",,,"Seeds — Unenumerated, For Expressing Oil Therefrom"
Feathers And Down,FOLD?,5346385,0,176,39,59,Bark — Eastern Coast Of Africa,79,41,Bark — Eastern Coast Of Africa,,,Feathers And Down — Ornamental
Hats Or Bonnets,FOLD?,5167050,0,188,50,0,,2,1,Corn And Grain — Maize Or Indian Cornmeal,,,Straw Platting For Hats Or Bonnets
Meat — Other Sorts,FOLD?,4808455,0,131,23,18,"Meat, Unenumerated — Other Sorts",18,16,"Meat, Unenumerated — Other Sorts",,,"Meat, Salted Or Fresh"
"Stones, Marble, Rough Hewn, Or Manufactured (Other Than Works Of Art)",FOLD?,4599683,0,75,17,29,Slates,52,29,Lates,,,"Stones, Marble, And Slate : Rough, Hewn Or Manufactured : (Other Than Works Of Art)"
"Hides, Raw, And Pieces Thereof",FOLD?,3577896,0,97,51,34,Hemp,73,49,"Hides, Raw, And Pieces Thereof — Dry",,,"Hides, Raw, And Pieces Thereof — Dry"
Oil — Unenumerated,FOLD?,3541812,0,197,27,2,Nuts And Kernels — Seed,3,2,Nuts And Kernels — Seed,,,"Seeds — Unenumerated, For Expressing Oil Therefrom"
"Stones, Marble, And Slate — (Other Than Works Of Art)",FOLD?,2993059,0,51,14,80,"Stationery, Other Than Paper — Rough, Hewn Or Manufactured: (Other Than Works Of Art)",94,51,"Stationery, Other Than Paper — Rough, Hewn Or Manufactured: (Other Than Works Of Art)",,,"Stones, Marble, And Slate : Rough, Hewn Or Manufactured : (Other Than Works Of Art)"
"Horns, Tips And Pieces Of Horns And Hoofs",FOLD?,2737723,0,119,37,27,"Horns, Tips And Pieces Thereof, And Hoofs",50,19,"Horns, Tips, And Pieces Of Horn, And Hoofs",,,"Horns, Tips, And Pieces Of Horn, And Hoofs"
"Skins, Furs, And Pelts — Furs, Unenumerated",FOLD?,2241590,0,45,32,33,Spices — Unenumerated,33,31,Spices — Unenumerated,,,"Skins, Furs, And Pelts — Unenumerated : Undressed"
Copper — Unenumerated,FOLD?,2183141,0,48,21,0,,0,0,,,,"Copper — Manufactures Of, Unenumerated,   Including Copper Coin"
"Meat, Unenumerated — Other Sorts",FOLD?,2181260,0,79,22,27,Meat — Other Sorts,27,27,Meat — Other Sorts,,,"Meat (Except Poultry And Game) — Unenumerated, Salted Or Fresh"
Lead,FOLD?,1812145,0,16,13,0,,12,12,Lard,,,Lead — Pig And Sheet
Jute Manufactures — Piece Goods,FOLD?,1772587,0,18,18,0,,0,0,,,,"Jute Yarn — Manufactures, Piece Goods"
Soap,FOLD?,1763611,0,93,31,0,,0,0,,,,"Soap, Transparent, In The Manufacture Of Which Spirit Has Been Used"
Farinaceous Substances,FOLD?,1643003,0,30,16,10,Eggs — Unenumerated,10,10,Eggs — Unenumerated,,,Farinaceous Substances And Manufactures Thereof
Beer And Ale — Of Other Sorts,FOLD?,1605858,0,135,14,13,Zinc — Of Other Sorts,15,13,Zinc — Of Other Sorts,,,"Beer And Ale: Mum, Spruce Or Black } Beer, Berlin White Beer, And Other Similar Preparations"
Gum,FOLD?,1469503,0,80,40,25,"Glass, Of All Kinds",28,16,"Glass, Of All Kinds",,,Gum — Unenumerated
"Ivory — Teeth, Elephants', &C.",FOLD?,1259799,0,38,25,21,"Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse",21,18,"Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse",,,"Ivory :Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse ,,Vegetable"
Pickles And Vegetables Preserved In Salt,FOLD?,1188679,0,38,6,0,,0,0,,,,"Pickles And Vegetables, Preserved In Salt Or Vinegar"
Onions,FOLD?,1076770,0,21,8,0,,0,0,,,,Onions — Raw
Flax — Dressed,FOLD?,1041612,0,44,7,0,,0,0,,,,"Flax, Dressed Or Undressed"
"Iron — Manufactures, Of Iron And Steel; Sewing Machines",FOLD?,866484,0,19,7,0,,5,5,"Art, Works Of, Other Than Pictures",,,Iron And Steel Manufactures : Sewing Machines Value £
Flax — Unenumerated,FOLD?,859830,0,49,10,73,Glass — Unenumerated,73,71,Glass — Unenumerated,,,"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp"
"Copper — Manufactures Of, Unenumerated",FOLD?,847677,0,59,11,17,"Copper, Ore Of — Manufactures Of, Not Otherwise Enumerated Or Described, Including Copper Plates Engraved",22,17,"Copper, Ore Of — Manufactures Of, Not Otherwise Enumerated Or Described, Including Copper Plates Engraved",,,"Copper — Manufactures Of, Unenumerated,   Including Copper Coin"
Glass — Common Bottles,FOLD?,761289,0,44,25,0,,0,0,,,,Glass Of All Kinds (Except Bottles Of Green Or Common } (Glass)
Salt,FOLD?,734045,0,33,8,0,,0,0,,,,"Pickles And Vegetables, Preserved In Salt Or Vinegar"
"Meat, Unenumerated",FOLD?,711857,0,15,13,7,"Leaf, Not Gold",7,7,"Leaf, Not Gold",,,"Meat (Except Poultry And Game) — Unenumerated, Salted Or Fresh"
"Brass, Bronze, And Metal, Bronze And Lacquered",FOLD?,698565,0,43,11,0,,2,2,Plumbago,,,"Brass, Bronze, And Metal Bronzed Or Lacquered, }Manufactures Of"
Wood And Timber — Furniture And Hardwoods : Unenumerated,FOLD?,647685,0,22,24,91,Furniture And Hardwoods — Mahogany : Unenumerated,91,68,Furniture And Hardwoods — Mahogany : Unenumerated,,,"Wood And Timber — Furniture, Hardwoods, And Veneers : Unenumerated"
Oil — Of Other Sorts,FOLD?,633362,0,22,30,73,Oil-Seed Cake — Of Other Sorts,77,27,Oil-Seed Cake — Of Other Sorts,,,Oil — Palm
Confectionery (Not Containing Any Article Liable To Duty),FOLD?,625193,0,60,13,15,Confectionery,17,15,Confectionery,,,Confectionery (Not Containing Any Article Liable To Duty) Cwts
Bark — Of Other Sorts,FOLD?,614912,0,31,17,13,Fish — Fresh (Not Of British Taking),16,13,Fish — Fresh (Not Of British Taking),,,"Drugs — Bark, Peruvian"
Metal — Unenumerated,FOLD?,501539,0,13,10,0,,15,15,Metal — Wrought Or Manufactured,,,"Metal — Unenumerated, Unwrought"
Jute Yarn,FOLD?,498684,0,12,6,0,,0,0,,,,"Jute Yarn — Manufactures, Piece Goods"
Hemp — Vegetable Substances Applicable To The Same Uses As Hemp Or Flax,FOLD?,391034,0,41,13,0,,0,0,,,,"Hemp — Unenumerated Vegetable Substances, Applicable To The Same Uses As Flax Or Hemp"
Plate Of Silver,FOLD?,373488,0,64,21,12,"Plate — Of Silver, Gilt Or Ungilt",14,12,"Plate — Of Silver, Gilt Or Ungilt",,,"Plate — Of Silver, Gilt Or Ungilt"
Drugs,FOLD?,315783,0,37,9,35,"Copper, Ore Of — Dutch Possessions In The Indian Seas",38,35,"Copper, Ore Of — Dutch Possessions In The Indian Seas",,,Drugs — Unenumerated
"Skins, Furs, And Pelts — Manufactures Of Skins And Furs",FOLD?,279027,0,5,3,0,,0,0,,,,"Skins, Furs, And Pelts — Manufactures Of, Including Rugs"
Beer And Ale,FOLD?,187843,0,16,12,0,,0,0,,,,"Beer And Ale: Mum, Spruce Or Black } Beer, Berlin White Beer, And Other Similar Preparations"
Asphalt,FOLD?,182042,0,15,5,0,,7,7,Wax,,,Asphalt Or Bitumen
Metal,FOLD?,158637,0,26,13,4,"Leaf, Not Gold",54,35,"Metal — Leaf, Not Gold",,,Metal — Wrought Or Manufactured
Dye Woods,FOLD?,147269,0,19,18,63,Dye Woods — West Africa,79,47,Dye Woods — Unenumerated,,,Dye Woods — Logwood
Beer And Ale — Mum And Spruce,FOLD?,140163,0,14,7,0,,0,0,,,,"Beer And Ale: Mum, Spruce Or Black } Beer, Berlin White Beer, And Other Similar Preparations"
Chicory,FOLD?,125309,0,4,2,0,,0,0,,,,"Chicory, Raw Or Kiln-Dried"
Perfumery,FOLD?,106942,0,11,3,0,,0,0,,,,"Perfumery, And Articles Used In The Manufacture Thereof"
"Extracts, Of Other Sorts, Unenumerated",FOLD?,94829,0,28,9,4,"Dye Stuffs, And Substances Used In Tanning — Other Coal Tar Dyes",4,4,"Dye Stuffs, And Substances Used In Tanning — Other Coal Tar Dyes",,,"Substances And Extracts, Unenumerated"
Rough And In The Husk,FOLD?,82842,0,8,5,0,,0,0,,,,Rice — Not Rough Nor In The Husk
Beer And Ale — Spruce,FOLD?,81790,0,6,3,0,,0,0,,,,"Beer And Ale: Mum, Spruce Or Black } Beer, Berlin White Beer, And Other Similar Preparations"
"Milk And Cream, Fresh",FOLD?,46791,0,8,4,0,,0,0,,,,"Milk And Cream, Fresh Or Preserved, Other Than Condensed Milk"
Silver,FOLD?,35773,0,5,5,0,,0,0,,,,"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver"
Rice — In The Husk,FOLD?,23892,0,6,5,0,,0,0,,,,Rice — Not Rough Nor In The Husk
Wine — Other Sorts,FOLD?,13052,0,11,6,0,,18,18,"Chicory — Red, In Bottles, Sparkling : Other Sorts",,,Wine — Total Of All Kinds
Coals,FOLD?,11746,0,4,2,0,,0,0,,,,"Coals, Cinders, &C — Coals And Culm"
Cocoa — Pâte Or Chocolate,FOLD?,9216,0,2,2,0,,0,0,,,,"Cocoa Or Chocolate, Ground, Prepared Or In Any Way Manufactured"
Maps And Charts,FOLD?,8078,0,10,3,0,,0,0,,,,"Books, Printed, Bound And Unbound, Including Maps And Charts"
Madder — Munjeet,FOLD?,3592,0,7,2,0,,0,0,,,,"Madder, Madder Root, Garancine, And Munjeet"
Corn And Grain — Wheat Flour,FOLD?,2794,0,1,1,0,,0,0,,,,Corn And Grain — Wheat Meal Or Flour
Ether,FOLD?,1337,0,10,5,30,Ether — Acetic,30,30,Ether — Acetic,,,Ether — Acetic
Pickles Preserved In Vinegar,FOLD?,879,0,1,1,0,,0,0,,,,"Pickles And Vegetables, Preserved In Salt Or Vinegar"
Cotton — Raw,KEEP,1200324459,1,650,79,3,"Corn And Grain — Cotton Raw, And Waste Of",4,3,"Corn And Grain — Cotton Raw, And Waste Of",,,
"Woollen And Worsted Manufactures — Broad Cloths, Coatings, Duffs, &C., Plain, All Wool",KEEP,1023666674,0,81,32,0,,0,0,,,,
Wool — Sheep Or Lambs',KEEP,1006152312,1,1037,110,2,Woollen Yarn — Unenumerated,8,4,Wool — Other Goats' Wool Or Hair,,,
"Woollen And Worsted Manufactures — Broad Cloths; Coatings, Duffs, &C., Ofwool, Mixed With Other Materials",KEEP,950000000,0,20,20,0,,0,0,,,,
"Woollen And Worsted Manufactures — Narrow Cloths: Coatings, Duffs, &C., Plain,All Wool",KEEP,750040033,0,17,17,0,,0,0,,,,
Corn And Grain — Wheat,KEEP,662851703,1,548,55,2,"China, Or Porcelain, And Earthenware — Wheat",12,7,Corn And Grain — From Russia,,,
"Cotton Manufactures — Piece Goods, Plain",KEEP,527082346,1,893,84,0,,1,0,Other Than Muslins,,,
Butter,KEEP,324663078,1,412,33,0,,1,0,"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Dutch Possessions In The Indian Seas",,,
Tea,KEEP,315842479,1,436,36,1,"Unenumerated, Not Sweetened",11,3,Tea — British Indies,,,
Maize Or Indian Corn,KEEP,296740539,1,350,43,1,Barley,1,1,Barley,,,
"Cotton Manufactures — Piece Goods, Printed",KEEP,294935708,0,827,82,0,,2,2,Cotton Manufactures — United States,,,
Corn And Grain — Wheat Meal Or Flour,KEEP,275426430,1,427,39,14,Wheatmeal And Flour,16,14,Wheatmeal And Flour,,,
Bacon,KEEP,245484090,1,205,19,1,Cheese,1,0,Cheese,,,
Oxen And Bulls,KEEP,193804627,1,246,22,1,"Animals, Living",2,1,"Animals, Living",,,
Wine — Total Of All Kinds,KEEP,178176907,1,570,49,4,Tobacco — Total Of All Kinds,6,5,Tobacco — Total Of All Kinds,,,
Coffee — Raw,KEEP,173798833,1,779,110,3,Roasted Or Ground,14,4,"Cocoa Or Chocolate, Ground, Prepared Or In Any Way Manufactured",,,
Jute,KEEP,161051830,1,130,30,0,,12,6,Ivory — Vegetable,,,
Oats,KEEP,150070653,1,382,38,1,Rye,1,0,Rye,,,
Seeds — Flax Or Linseed,KEEP,148160223,1,419,43,9,Cotton,12,5,Cotton,,,
Barley,KEEP,141601280,1,531,49,1,Maize Or Indian Corn,1,1,Maize Or Indian Corn,,,
Cheese,KEEP,137525996,1,257,26,2,Caoutchouc — Manufactures Of,5,2,Cheese — From Australasia,,,
Woollen Manufactures — Stuffs,KEEP,133555894,1,111,18,0,,2,1,Feathers — For Beds,,,
Cork — Manufactured,KEEP,129486294,1,557,46,1,"Zinc — Crude, In Cakes",1,1,"Zinc — Crude, In Cakes",,,
Oil — Palm,KEEP,111560277,1,288,48,11,Nuts And Kernels — Coco-Nut,15,11,Nuts And Kernels — Coco-Nut,,,
Eggs,KEEP,98654116,1,369,33,2,Wood,2,1,Wood,,,
"Wood And Timber — Hewn, Fir",KEEP,96638876,1,279,22,0,,1,0,Whalebone,,,
Cotton Twist And Yarn,KEEP,95099656,0,203,41,0,,0,0,,,,
Caoutchouc,KEEP,90618170,1,730,100,1,Cacosthene,22,7,Caoutchouc — East Africa,,,
Seeds — Silk And Satin,KEEP,86240590,0,60,12,2,Toys — Not Containing Spirit,3,2,"Art, Works Of, Other Than Pictures",,,
Hams,KEEP,85711484,1,182,21,7,"Arms And Ammunition — Rockets And Other Combustibles For Purposes Of War; Explosives, Perussion Caps, And Ammun- Ition Unenumerated",9,5,"Arms And Ammunition — Rockets And Other Combustibles For Purposes Of War; Explosives, Perussion Caps, And Ammun- Ition Unenumerated",,,
"Mutton, Fresh",KEEP,82122080,1,190,23,6,Notton. Fresh,23,11,"Metal — Unenumerated, Old, Fit Only To Be Re-Manufactured",,,
Silk — Raw,KEEP,77642923,1,298,32,1,Spices — Cinnamon,17,16,Shells Of All Kinds — Raw,,,
Rice,KEEP,75715475,1,324,40,3,"Poultry And Game (Alive Or Dead), Including Rabbits — Rich",8,5,"Pork — Poultry And Game, Alive Or Dead",,,
Wine — White,KEEP,74772477,1,410,31,6,"Tobacco — White, Total Of",6,3,"Tobacco — White, Total Of",,,
"Unenumerated, Not Sweetened",KEEP,73474695,1,199,41,15,Spirits — Brandy,21,8,Spirits — Brandy,,,
Lead — Pig And Sheet,KEEP,72466926,1,413,59,10,"Skins, Furs, And Pelts — Undressed",11,9,"Skins, Furs, And Pelts — Undressed",,,
Indigo,KEEP,70083453,1,279,39,1,Spices — Ginger,2,0,Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,,,
Lard,KEEP,69639402,1,175,19,3,Liard,5,2,Liard,,,
Tobacco — Unmanufactured,KEEP,68474291,1,567,67,13,Tobacco — Cigars,18,12,Tobacco — Cigars,,,
Cotton,KEEP,65842512,1,410,57,20,Cotton — Eastern Coast Of Africa,30,10,Cotton — Eastern Coast Of Africa,,,
Tallow And Stearine,KEEP,61160904,1,443,51,8,"Sugar — Unrefined, Total",10,8,"Sugar — Unrefined, Total",,,
Wet,KEEP,59970808,1,664,66,0,,1,1,"Hides, Raw, And Pieces Thereof — British Possessions In South Africa",,,
"Flax, Dressed Or Undressed",KEEP,57412975,1,170,24,15,Fish (Including Turtle) — Dressed Or Undressed,19,17,Fish (Including Turtle) — Dressed Or Undressed,,,
Wine — Red,KEEP,56297450,1,420,41,16,Vinegar,17,11,Vinegar,,,
"Iron — Manufactures Of Iron Or Steel, Unenumerated",KEEP,55124719,1,355,39,16,"Horns, Tips And Pieces Of Horns And Hoofs — Manufactures Of Iron Or Steel, Unenumerated",21,16,"Horns, Tips And Pieces Of Horns And Hoofs — Manufactures Of Iron Or Steel, Unenumerated",,,
"Glass — Plate, Rough Or Silvered (Including Looking Glasses Or Mirrors)",KEEP,51335295,0,91,27,0,,0,0,,,,
Bleaching Materials,KEEP,51286603,0,33,14,0,,0,0,,,,
"Brass — Manufactures Of, Not Being Ordnance",KEEP,50887840,0,45,24,0,,0,0,,,,
"Wine, British Made — Rough, Hewn, Sawn, Or Split",KEEP,50071380,0,11,11,0,,0,0,,,,
Leather Manufactures — Gloves,KEEP,49899470,1,162,17,0,,0,0,,,,
Woollen Yarn — For Weaving,KEEP,46668828,1,166,21,17,Woollen Yarn — Unenumerated,20,17,Woollen Yarn — Unenumerated,,,
"Animals, Living — Sheep And Lambs",KEEP,46078082,1,219,24,0,"Animals, Living",2,0,Animals Living — From Australasia,,,
Margarine,KEEP,45959129,1,101,15,0,,2,1,Rags And Other Materials For Making Paper — Linen And Cotton,,,
Sugar — In Lumps And Loaves,KEEP,43644384,1,101,14,3,Sugar,4,2,Sugar,,,
Regulus And Precipitate,KEEP,41823898,1,229,34,0,Cotton,2,0,Copper — British North America,,,
Hemp — Dressed Or Undressed,KEEP,41002552,1,332,47,10,Glass — Dressed Or Undressed,23,11,Hats Or Bonnets — Of Other Materials,,,
Potatoes,KEEP,40035650,1,297,40,4,Fish — Fresh,7,4,Fish — Fresh,,,
Fruit — Raisins,KEEP,39405608,1,220,57,6,Spirits — Rum,16,4,Spirits — Rum,,,
Fruit — Currants,KEEP,38775142,1,111,28,5,Roasted Or Ground,5,2,Roasted Or Ground,,,
"Coals, Cinders, &C — Coals And Culm",KEEP,37480356,1,163,48,7,"Coal, Culm, And Cinders",10,4,"Coal, Culm, And Cinders",,,
Leather — Dressed,KEEP,36954330,1,189,28,0,,6,6,Lead — Dressed,,,
Diamonds,KEEP,36631940,0,16,3,0,,0,0,,,,
Oil — Oil Seed Cakes,KEEP,33926835,1,224,25,2,Oil — Oil Seed Cure,5,2,Oil — Oil Seed Cure,,,
Flax — Rough Or Undressed,KEEP,32341759,0,57,8,0,,0,0,,,,
"Glass — Manufactures, Unenumerated",KEEP,32264593,0,201,14,1,Oil — Castor,2,0,Oil — Castor,,,
Fruit — Oranges And Lemons,KEEP,31479506,1,195,20,0,,1,1,"Dye Stuffs, And Substances Used In Tanning — Unenumerated",,,
Hops,KEEP,31050503,1,228,37,10,Horns,18,6,Horns,,,
"Paper-Making Materials — Esparto, And Other Vegetable Fibres",KEEP,30357824,1,141,18,1,Wood And Timber — Mahogany,24,12,Paper — Millboard And Pasteboard,,,
Pyrites Of Iron Or Copper,KEEP,29237854,1,130,19,6,"Prints, Engravings And Photo- Graphs — Printes Of Iron Or Copper",9,6,"Prints, Engravings And Photo- Graphs — Printes Of Iron Or Copper",,,
Wool — Goats' Wool Or Hair,KEEP,26883564,1,271,37,4,Woollen Yarn — Of Goats' Wool Or Hair Mixed Or Not With Other Materials,5,3,Woollen Yarn — Of Goats' Wool Or Hair Mixed Or Not With Other Materials,,,
Feathers And Down — Ornamental,KEEP,26728978,1,351,37,2,Wood — For Beds,10,5,Feathers And Down,,,
"Nitre, Cubic (Nitrate Of Soda)",KEEP,26603416,1,98,16,15,Manures — Nitrate Of Soda (Cubic Nitre),16,5,Manures — Nitrate Of Soda (Cubic Nitre),,,
Iron — In Bars,KEEP,26402253,1,147,16,4,Iron — Ore Of,6,1,Iron — Ore Of,,,
"Cured Or Salted, Unenumerated",KEEP,26397323,1,190,29,2,Paper — Unprinted,2,1,Paper — Unprinted,,,
Corn And Grain — Beans,KEEP,26258327,0,279,32,2,Beans (Not Kidney Or French),3,2,Beans (Not Kidney Or French),,,
"Skins — Sheep And Lamb, Undressed",KEEP,26155200,1,389,50,6,"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",14,5,"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver — Skins, Sheep, Undressed",,,
"Chemical Manufactures And Products, Unenumerated",KEEP,26038420,1,332,37,7,"Chemical Manufactures And Products, Not Enumerated And Not Chargeable With Duty",8,6,"Chemical Manufactures And Products, Not Enumerated And Not Chargeable With Duty",,,
Silk Manufactures — Unenumerated,KEEP,25474717,0,113,23,4,"Shells Of All Kinds — Manufactures Of Silk Or Of Silk Mixed With Other Materials, Unenumerated",4,3,"Shells Of All Kinds — Manufactures Of Silk Or Of Silk Mixed With Other Materials, Unenumerated",,,
"Silk — Knubs Or Husks Of Silk, And Waste",KEEP,25199705,1,286,32,18,"Shells Of All Kinds — Knubs Or Hueks Of Silk, And Waste",20,18,"Shells Of All Kinds — Knubs Or Hueks Of Silk, And Waste",,,
Oil — Olive,KEEP,24606535,1,227,24,5,Nuts And Kernels — Olive,10,6,Nuts And Kernels — Coco-Nut,,,
Cocoa,KEEP,23817997,1,437,51,5,Roasted Or Ground,5,5,Roasted Or Ground,,,
"Lac, Seed, Shell, Stick, And Dye",KEEP,23761989,1,174,33,15,Glass — Unenumerated,16,13,Glass — Unenumerated,,,
"Preserved, Otherwise Than By Salting",KEEP,23605190,1,184,28,17,"Meat, Unenumerated — Meat, Unenumeratedpreserved, Otherwise Than By Salting",17,17,"Meat, Unenumerated — Meat, Unenumeratedpreserved, Otherwise Than By Salting",,,
Cutch And Gambier,KEEP,23570871,1,139,31,4,Bark — Catch And Gambier,4,1,Bark — Catch And Gambier,,,
Seeds — Rape,KEEP,23225324,1,269,32,18,Rape,18,16,Rape,,,
Ivory,KEEP,23159990,1,146,55,10,Ivory — East Africa,55,33,"Teeth, Elephants', Sea-Cow, Sea-Horse, Or Sea-Morse",,,
Musical Instruments,KEEP,22941617,1,211,18,0,"Skins, Furs, And Pelts — Manufactures Of, Including Rugs",0,0,"Skins, Furs, And Pelts — Manufactures Of, Including Rugs",,,
Wood And Timber — Mahogany,KEEP,22769879,1,282,49,16,Wood And Timber — Furniture Hardwoods And Veneers : Mahogany,18,11,Wood And Timber — Furniture Hardwoods And Veneers : Mahogany,,,
"Copper, Ore Of",KEEP,22712515,1,454,46,1,Iron — Ore Of,3,1,"Copper, Ore Of — From British Possessions In South Africa",,,
"Metal — Unenumerated, Old, Fit Only To Be Re-Manufactured",KEEP,22577713,0,160,44,4,Metal — Factured,31,12,"Mutton, Fresh",,,
Woollen Manufactures — Cloths And Stuffs,KEEP,22124269,0,47,5,0,,4,2,Cotton,,,
Corn And Grain — Pease,KEEP,21855359,0,282,34,4,Peas,4,3,Peas,,,
Wood And Timber — Teak,KEEP,21823271,1,145,38,13,Wood And Timber,21,13,Wood And Timber,,,
Lead — Dressed,KEEP,21773029,1,97,22,1,Lead — Pig And Sheet,13,11,Leather — Dressed,,,
"Hides, Raw, And Pieces Thereof — Dry",KEEP,21507472,1,460,64,9,Hemp — Dry,23,10,"Hides, Raw, And Pieces Thereof",,,
Toys,KEEP,21415410,1,234,26,10,"Vegetables, Raw, Unenumerated",10,10,"Vegetables, Raw, Unenumerated",,,
"Hides, Not Tanned, Tawed, Curried, Or In Any Way Dressed — Dry",KEEP,20939128,0,155,23,0,,0,0,,,,
Fish — Cured Or Salted,KEEP,20581152,0,179,22,1,Caoutchouc,1,1,Caoutchouc,,,
Yarn,KEEP,20557525,1,270,30,12,Waste Of,23,7,Waste Of,,,
Cheese — Wheat,KEEP,20374219,0,27,28,0,,0,0,,,,
Rice — Not Rough Nor In The Husk,KEEP,19831089,1,42,15,0,,0,0,,,,
Seeds — Clover And Grass,KEEP,19794910,1,232,23,7,Saltpetre (Nitrate Of Potash) — Clover And Grass,8,6,Saltpetre (Nitrate Of Potash) — Clover And Grass,,,
Nuts And Kernels — Commonly Used For Expressing Oil Therefrom,KEEP,19454025,1,417,90,1,Dye Woods — Logwood,24,8,Nuts And Kernels — India,,,
"Zinc — Goods, Unenumerated",KEEP,18752245,0,184,42,2,"Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenum- Erated",2,1,"Zinc — Goods, Not Being Either In Part Or Wholly Manufactured, Unenum- Erated",,,
Painters' Colours And Pigments,KEEP,18276576,1,221,23,0,,0,0,,,,
Manures — Guano,KEEP,18126318,1,283,56,6,Bones For Manure (Whether Burnt Or Not),8,5,Bones For Manure (Whether Burnt Or Not),,,
Wood And Timber — Staves,KEEP,17864172,1,233,18,1,Wood And Timber — Sawn Or Split,2,1,Wood And Timber — Sawn Or Split,,,
Watches,KEEP,17563404,1,134,35,2,Tin — Not Containing Spirit,15,11,Wax,,,
"Vegetables, Raw, Unenumerated",KEEP,17262250,1,258,25,9,Toys,9,9,Toys,,,
"Rags, Woollen, Applicable To Other Uses Than Manure, Torn Up Or Not",KEEP,16824331,1,262,23,1,"Metal — Unenumerated: Unwrought : Old, Fit Only To Be Re-Manufactured",12,10,Woollen Yarn — Unenumerated,,,
Gutta Percha,KEEP,16789100,1,165,30,11,"Glass, Of All Kinds",13,8,"Glass, Of All Kinds",,,
Woollen And Worsted Yarn — Worsted Yarn (Combed),KEEP,16266636,0,33,13,0,,0,0,,,,
"Yeast, Dried",KEEP,15491173,1,132,11,5,"Woollen Manufactures — Yarn, Dried",5,3,"Woollen Manufactures — Yarn, Dried",,,
Paper — Unprinted,KEEP,15368184,1,98,17,9,Paper — Millboard And Pasteboard,10,8,Paper — Millboard And Pasteboard,,,
Onions — Raw,KEEP,15346577,1,257,24,2,Oil — Of Other Sorts,2,2,Oil — Of Other Sorts,,,
Shells Of All Kinds,KEEP,15140681,1,383,66,18,"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver",22,12,"Silver, Ore Of, Or Ore Of Which The Greater Part In Value Is Silver",,,
"Silk Manufactures — Ribbons, Silk Or Satin",KEEP,15130546,0,26,8,4,"Cotton — Manufactures, Ribbons, Silk And Satin",4,4,"Cotton — Manufactures, Ribbons, Silk And Satin",,,
Spirits — Rum,KEEP,15035651,1,292,50,14,Fruit — Rum,15,8,Fruit — Rum,,,
"Hides, Not Tanned, Tawed, Curried, Or In Any Way Dressed — Tanned, Not Otherwise Dressed",KEEP,14946362,0,102,16,0,,0,0,,,,
Cows,KEEP,14938996,1,151,17,0,,1,1,"Sugar — Other Sorts, Including Candy",,,
Spices — Pepper,KEEP,14798833,1,223,47,13,Slates — Pepper,14,12,Slates — Pepper,,,
Wood And Timber — Oak,KEEP,14607399,1,144,18,2,"Wood And Timber — Hewn, Oak",4,2,"Wood And Timber — Hewn, Oak",,,
"Linen And Jute Manufactures — Plain, Unbleached Or Bleached",KEEP,14606437,0,69,29,0,,0,0,,,,
"Seed, Of All Kinds",KEEP,14558941,1,178,23,13,Nuts And Kernels — Seed,15,13,Nuts And Kernels — Seed,,,
Linen Yarn,KEEP,14379683,1,133,25,1,Yarn,2,1,Spices — Cinnamon,,,
Paper — Unenumerated,KEEP,14009953,0,205,25,1,"Yeast, Dried",1,0,Rags And Other Materials For Making Paper — Linen And Cotton,,,
Pork — Salted (Not Hams),KEEP,13984567,1,211,21,1,Oil — Turpentine,2,0,"Horns, Tips And Pieces Of Horns And Hoofs — Manufactures Of Iron Or Steel: Sewing Machines And Parts Thereof",,,
Other Than Muslins,KEEP,13892433,1,172,19,8,"Cotton Manufactures — Piece Goods, Other Than Muslins",11,8,"Cotton Manufactures — Piece Goods, Other Than Muslins",,,
"Silk Manufactures — Velvet, Plain Or Figured",KEEP,13855775,0,49,10,0,,2,2,Leather Manufactures — Boots And Shoes,,,
Paper — Millboard And Pasteboard,KEEP,13817586,1,268,25,4,Paper — Unprinted,19,6,"Paper-Making Materials — Esparto, And Other Vegetable Fibres",,,
Oil — Fish : Train Or Blubber,KEEP,13729290,1,234,33,8,"Oils — Fish, Train Or Blubber",15,8,"Oils — Fish, Train Or Blubber",,,
Fruit — Oranges,KEEP,13618984,1,87,17,0,,15,13,"Fruit — Nuts, Used As Fruit",,,
"Oil — Chemical, Essential, Or Perfumed",KEEP,13403523,1,414,52,7,Oil Seed Cake — Linseed Cake,13,6,Nuts And Kernels — Seed,,,
